Name;Code;Color;Price;Currency;Unit
Замок для вхідних дверей 5-ти ригельний Mottura Art. 20500VD під сувальдний ключ 5 шт 6 см бронза, лівий;62714;Бронза;115,6;EUR;шт
Замок для вхідних дверей 5-ти ригельний Mottura Art. 20500VS під сувальдний ключ 5 шт 6 см бронза, правий;62715;Бронза;115,6;EUR;шт
Замок для вхідних дверей 4-х ригельний Mottura Art. 20510VD із засувкою під сувальдний ключ 5 шт 6 см бронза, лівий;62712;Бронза;125,6;EUR;шт
Замок для вхідних дверей 4-х ригельний Mottura Art. 20510VD із засувкою під сувальдний ключ 5 шт 6 см бронза, правий;62713;Бронза;125,6;EUR;шт
Mottura Art. 30401VD50C5 Замок накладний 3-риг з натискним циліндром, з ручкою зсередини;5206;Коричневий;93,55;EUR;шт
Mottura Art. 30401VS50C5 Замок накладний 3-риг з натискним циліндром, з ручкою зсередини;5207;Коричневий;93,55;EUR;шт
Mottura Art. 30601VD50C5 Замок накладний 5-риг з натискним циліндром, з ручкою зсередини;5208;Коричневий;116,75;EUR;шт
Mottura Art. 30601VS50C5 Замок накладний 5-риг з натискним циліндром, з ручкою зсередини;5209;Коричневий;116,75;EUR;шт
Mottura Art. 3D771L80005CS Замок 4-риг з засувом під тяги лівий складаний ключ;58683;Нікель матовий;369,8;EUR;шт
Mottura Art. 3D771R80005CS Замок 4-риг з засувом під тяги правий складаний ключ;58682;Нікель матовий;369,8;EUR;шт
Mottura Art.  3D787L80005CS Замок 4-риг з засувом і доп. замком під євроциліндр лівий складний ключ;58685;Нікель матовий;432,95;EUR;шт
Mottura Art. 3D787R80005CS Замок 4-риг з засувом і доп. замком під євроциліндр правий складаний ключ;58684;Нікель матовий;432,95;EUR;шт
Mottura Art. 40701500053 Замок 1-риг малий хром;48355;Хром полірований;46,1;EUR;шт
Mottura Art. 40701500056 Замок 1-риг малий хром;48356;Хром матовий;46,65;EUR;шт
Mottura Art. 40701600056 Замок 1-риг малий хром;48354;Хром полірований;46,65;EUR;шт
Mottura Art. 40751420053 Замок 1-риг малий хром;48353;Хром полірований;46,65;EUR;шт
Mottura Art. 40751420053 Замок 1-риг. малий (без накладок);50326;Хром матовий;43,55;EUR;шт
Mottura Art. 50798D5 Замок 5-риги, 5 кл 60 mm накладки хром;49400;Хром полірований;62;EUR;шт
Mottura Art. 50798S5 Замок 5-риги, 5 кл 60 mm накладки хром;49402;Хром полірований;62;EUR;шт
Mottura Art. 52771DM2856 (TSBM) Замок 4-риг з засув, під тяги (без накладок);20767;Оцинкований;70;EUR;шт
Mottura Art. 52771dm8z56cr Замок 4-клунь із защ, під тягу з хр накл;45484;Оцинкований;73,1;EUR;шт
Mottura Art. 52783DM2856CR Замок 5-риг под тяги хром накл;49720;Хром полірований;88,8;EUR;шт
Mottura Art. 52J525D8005DCWM Замок 5-риг правий кл 6см;58002;Нікель матовий;139,1;EUR;шт
Mottura Art. 52J525S8005DCWM Замок 5-ріг лівий кл 6см;57944;Нікель матовий;139,1;EUR;шт
Mottura Art. 52J535G8B05DCWM Замок 4-клунь з защ, ручкою, правий кл 6см;58003;Нікель матовий;143,15;EUR;шт
Mottura Art. 52J535H8B05DCWM Замок 4-клунь з защ, ручкою, лівий кл 6см;58004;Нікель матовий;143,15;EUR;шт
Mottura art. 52J771BDRN5DCWM Замок 4-клунь з защ, ручкою, правий кл 6см;58005;Нікель матовий;135,3;EUR;шт
Mottura art. 52J771BSRN5DCWM Замок 4-клунь з защ, ручкою, лівий кл 6см;58006;Нікель матовий;135,3;EUR;шт
Mottura Art. 52J783BD0N5DCWM Замок 5-клунь правий кл 6см;58007;Нікель матовий;135,3;EUR;шт
Mottura Art. 52J783BS0N5DCWM Замок 5-ріг лівий кл 6см;58008;Нікель матовий;135,3;EUR;шт
Mottura Art. 54797L8B00CS3Z MATIC Замок 4-риг з засувкою і допом замком під євроциліндр 5кл + 2 монтажних ключа (60mm);54495;Нікель матовий;118,2;EUR;шт
Mottura Art. 54797R8B00CS3Z MATIC Замок 4-риг з засувкою і допом замком під євроциліндр 5кл + 2 монтажних ключа (60mm);54494;Нікель матовий;118,2;EUR;шт
Mottura Art. 54797TBDR56 Замок 4-риг з засувкою і допом замком під євроциліндр (без накладок);20764;Хром матовий;104,2;EUR;шт
Mottura Art.  54797TBDR56CR Замок 4-риг с засувкою;48541;Хром полірований;107,3;EUR;шт
Mottura Art. 54797TBSR56 Замок 4-риг із засувкою, і допом замком під євроциліндр (без накладок);20765;Хром матовий;104,2;EUR;шт
Mottura Art. 54797TBSR56CR Замок 4-риг с засувкою;48542;Хром полірований;107,3;EUR;шт
Mottura Ст 54J797G8B05DC6C ХРОМ правий;49142;Нікель матовий;152,4;EUR;шт
Mottura Ст 54J797H8B05DC6C ХРОМ лівий;49143;Нікель матовий;152,4;EUR;шт
Mottura Art. 54J939G8B05AC6O Замок;48539;Нікель матовий;161,65;EUR;шт
Mottura Art. 54J939H8B05AC6O Замок 4-риг з засувкою;48540;Нікель матовий;161,65;EUR;шт
Замок для дверей Mottura Art. 84971D8B0B 4 - ригеля з засувкою, під циліндр, під тяги правий;64462;Нікель матовий;79,3;EUR;шт
Замок для дверей Mottura Art. 84971S8B0B 4 - ригеля з засувкою, під циліндр, під тяги лівий;64575;Нікель матовий;79,3;EUR;шт
Mottura Art. 85971D28T Замок 4-риг з зас., Під циліндр, під тяги;10291;Нікель матовий;66,9;EUR;шт
Mottura Art. 85971S28T Замок 4-риг з зас., Під циліндр, під тяги;10292;Нікель матовий;66,9;EUR;шт
Mottura Art. 89723D5000 Замок 4-риг, 5 кл;29134;Хром матовий;89,15;EUR;шт
Mottura Art. 89723S5000 Замок 4-риг, 5 кл;29135;Хром матовий;89,15;EUR;шт
Замок для вхідних дверей Mottura Art. DP25170000 3 - ригеля;56744;Нікель матовий;33,9;EUR;шт
Замок для вхідних дверей Mottura Art. DP58170000 3-ригеля під циліндр;64667;Нікель матовий;18;EUR;шт
Замок для вхідних дверей Mottura Art. DP25170000 3 - ригеля, з засувкою;56743;Нікель матовий;22;EUR;шт
Mottura АРТ 91399 60 ММ MY KEY комплект ключів для перекодування;48085;Оцинкований;68,45;EUR;шт
